Date,Operation,Coin,Change,Turnover,Remark
2024-01-15,Buy,NFTETH,1,2800,Compra NFT colección BLUR — arte digital
2024-02-10,Buy,ETH,3,10800,ETH para operaciones NFT/DeFi
2024-03-05,Buy,NFTETH,2,4500,Dos NFTs adicionales — especulación
2024-04-20,Sell,NFTETH,1,3200,Venta NFT con ganancia rápida
2024-05-15,LP-Pool,ETH,2,0,Depósito en LP Uniswap v3 — ETH/USDC
2024-06-30,LP-Fees,ETH,0,450,Recompensas comisiones del LP
2024-07-10,Lending,ETH,0.5,0,Depósito en Aave — generando intereses
2024-08-05,Staking,ETH,0.5,800,Recompensas Ethereum staking
2024-09-01,Sell,NFTETH,1,2500,Venta de NFT con pérdida (especulación)
2024-10-15,LP-Withdraw,ETH,2,8200,Retirada de liquidez del pool — ganancias
2024-11-20,Liquidation,ETH,3,9600,Liquidación por caída de colateral en protocolo DeFi — SÍ tributa
2024-12-15,Buy,BTC,0.1,4100,Cierre de año — reposicionamiento
